value,units_of_time_operating,units_timeframe_of_amt_sold,arrival_time,shipping,free_return,free_return_info
1,años,años,,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,año,año,,Llega gratis mañana,Devolução grátis,Você tem 30 dias a partir do recebimento
3,meses,meses,,Envío a todo el país,,Tienes 30 días desde que lo recibes
4,aÃ±os,aÃ±os,,Envío gratis a todo el país,,
5,mês,mês,,Envío,,
6,días,días,,Entrega a acordar con el vendedor,,
7,,,,Envio para todo o país,,
8,,,,Chega amanhã,,
9,,,,Frete grátis,,
10,,,,Entrega a combinar com o vendedor,,
11,,,,Envío a nivel nacional,,
12,,,,Envío gratis a nivel nacional,,
13,,,,Envío gratis,,
